name,segment,sub_segment,profile,hq,final_score,acuity,roi_quant,whitespace,closeability,winnability,active_pain_timing,reachability,sourced_share,champion_role,economic_buyer_role,poc_angle,registry_source,registry_regulator,registry_id,registry_as_of,registry_url,evidence_urls
"Bank of Makati (A Savings Bank), Inc.",thrift_bank,,prospect,"Bank of Makati Building, Ayala Avenue near corner Metropolitan Avenue, Makati City",56,0.75,0.65,0.6,0.95,0.65,0.85,0.7,1.00,Head of Credit / Chief Risk Officer (Consumer and MSME Lending),President / Chief Executive Officer,"Bank of Makati is mid-migration on both core banking and its loan system while publicly pushing to rebalance its book toward personal loans and expand MSME lending under the PHILGUARANTEE tie-up — exactly the moment to test a document-driven underwriting layer before a new LOS vendor gets locked in. The pilot Kita should propose is narrow: run Kita Capture and the AI Underwriter alongside the existing manual process on one line, likely the personal/payday salary-loan segment (ID, proof of income, supporting financials, ""additional paperwork"" already flagged on BMI's own site as variable and judgment-heavy), for a fixed volume of new applications at a subset of branches. Success would be measured as days-to-decision versus the current manual turnaround and the share of those applications that clear underwriting without a human document-review step, giving the Head of Credit/CRO a clean before-after comparison to bring to the President ahead of the digital platform launch.",BSP Directory of Banks and Non-Bank Financial Institutions: thrift banks,BSP,84,2026-09-14,"https://www.bsp.gov.ph/_api/web/lists/getbytitle('Institutions')/items?$select=InstitutionID,Title,ShortBankName,InstitutionTypeID,InstitutionTypeID2,InstitutionTypeID3,Address,NumOffice,Status,Website,Modified&$filter=InstitutionTypeID%20eq%20'10'&$top=500",https://www.ecomparemo.com/banks/bmi/personal-loans/power-payday-loan https://bankofmakati.com.ph/mymoney/personal-loan/ https://bankofmakati.com.ph/mybusiness/credit-application-form/ https://bworldonline.com/editors-picks/2018/09/13/186752/bank-of-makatis-loan-growth-surpasses-20-target/ https://bworldonline.com/banking-finance/2026/08/14/770118/bank-of-makati-looks-to-ramp-up-asset-growth/ https://en.wikipedia.org/wiki/Bank_of_Makati https://bworldonline.com/banking-finance/2024/12/31/644055/bank-of-makati-sees-boost-from-rate-cuts/ https://www.finextra.com/pressarticle/57350/philippines-bank-of-makati-implements-infosys-finacle-core-banking-tech https://www.qlik.com/us/news/company/press-room/press-releases/bank-of-makati-drives-financial-inclusion-and-innovation-with-qlik https://www.bsp.gov.ph/Lists/Directories/Attachments/6/demand.pdf https://www.bworldonline.com/banking-finance/2026/03/09/734850/bank-of-makati-looks-to-rebalance-its-loan-book/ https://leadiq.com/c/bank-of-makati-a-savings-bank/5e27d4e262be9f43ca42b6cc https://www.philstar.com/supplements/2026/07/15/2541865/thrift-banks-seek-stay-relevant-ai-era
Asialink Finance Corporation,lending_company,olp_registered,prospect,Philippines,52,0.6,0.75,0.7,0.95,0.55,0.8,0.45,0.79,Head of Credit / Chief Risk Officer,CEO or CFO,"Asialink's unsecured MSME and consumer loan lines still run on a manual credit-investigation workflow—trade checking, bank verification, employment and collateral checks feeding a Credit Approval Memorandum to a Credit Committee—which is likely why the site markets approvals in ""as fast as one day"" rather than instant. With Moody's explicitly flagging asset-quality risk as Asialink pushes rapid growth into higher-risk borrower segments, and no confirmed third-party LOS or document-AI vendor in place (their IT postings suggest a homegrown Loan Management System), there's a plausible opening to test Kita's Document Risk Score and AI Underwriter on a narrow slice of unsecured personal or business loan applications from one branch cluster or channel. The pilot hypothesis: for a fixed batch of applications, Kita can cut days-to-decision and raise the share resolved without a manual credit-investigation step, while holding document rejection rates flat or lower, with the Head of Credit/CRO judging the results before any talk of replacing the vehicle-backed or CI-heavy segments.",SEC list of recorded online lending platforms,SEC,A199711768,2026-09-14,https://www.sec.gov.ph/lending-companies-and-financing-companies-2/list-of-recorded-online-lending-platforms/,https://mb.com.ph/2025/12/22/asialink-gets-high-marks-from-moodys-for-strong-profits https://www.asialinkfinance.com.ph/careers/ https://www.trb.com.ph/who-we-are/our-partners https://www.asialinkfinance.com.ph/ https://disclosures.ifc.org/project-detail/SII/45749/asialink-loan https://www.jobs180.com/asialinkfinancecorporation https://www.sec.gov.ph/lending-companies-and-financing-companies-2/press-release/ https://www.bworldonline.com/banking-finance/2025/12/23/720438/asialink-gets-issuer-ratings-with-stable-outlook-from-sp-moodys/ https://www.cgif-abmi.org/storage/2025/12/Press-Release-Asialink.pdf
Radiowealth Finance Company Inc.,lending_company,olp_registered,prospect,Philippines,52,0.85,0.6,0.8,0.9,0.55,0.6,0.3,0.72,Head of Credit / Credit Operations,President/CEO or Chief Operating Officer,"Radiowealth's SME and business-loan flow still runs on a representative manually calling to relay a decision and then collecting notarized GIS, business permits, 2x2 photos, and bank statements branch by branch, with third-party reviews pointing to a 3-5 day approval window — and this is happening just as the FundSpace/Globe partnership is likely pushing more MSME applications into that same manual pipeline. The angle for a first conversation is to test, on one branch or one loan product (e.g., the business/SME loan), whether Kita's Document Risk Score and AI Underwriter can compress the document intake and decisioning step for a bounded batch of applications, with the Head of Credit Operations as the natural owner of that pain. Success for the pilot would be a measurable drop in days-to-decision and a reduction in the share of files needing manual follow-up for missing or unclear documents, not a full origination-system replacement. This keeps the test small enough to run alongside RFC's existing branch process while directly probing whether document-driven underwriting is the actual bottleneck behind its multi-day turnaround.",SEC list of recorded online lending platforms,SEC,AS9600005A,2026-09-14,https://www.sec.gov.ph/lending-companies-and-financing-companies-2/list-of-recorded-online-lending-platforms/,"https://ewsdata.rightsindevelopment.org/projects/39610-radiowealth-loan/ https://rfc.com.ph/products/business-loan/ https://rfc.com.ph/loan-calculator/ https://finanso.com/ph/rfc/ https://triceloans.ph/rfc-loan-review/ https://ph.jobstreet.com/companies/radiowealth-finance-company-inc-168552529451177 https://www.indeed.com/cmp/Radiowealth-Finance-Co.,-Inc-1 https://www.zoominfo.com/c/radiowealth-finance-company-inc/446567654 https://rfc.com.ph/ https://www.globe.com.ph/about-us/newsroom/partners/fundspace-teams-up-rfc-reach-underserved-msmes https://ph.jobstreet.com/Radiowealth-Finance-Company-Inc.-jobs https://fintech.ph/listing/radiowealth-finance"
Cepat Kredit Financing Inc.,lending_company,olp_registered,prospect,Philippines,51,0.75,0.7,0.7,0.9,0.65,0.6,0.3,0.76,Head of Credit / Credit Risk Officer,CEO / COO,"Cepat Kredit's OFW/seafarer loan book is decided from documents—overseas employment contracts, IDs, payslips—with a stated 1-to-3-day approval window and an in-house hire tasked with automating business processes, suggesting no enterprise-grade decisioning layer sits behind that manual step yet. The angle for a first call is a bounded pilot on a single loan tier (likely the smaller ₱10,000–₱40,000 segment, where a third-party site already implies faster turnaround, versus the larger OFW ticket that still runs 1–3 days): route incoming applications through Kita Capture and Document Risk Score to flag verifiable-but-unbureaued documents, and let the AI Underwriter propose a decision alongside the current credit officer's manual call. Success would be measured narrowly—days-to-decision on that tranche and the share of applications the model can resolve without a manual document review—before any claim is made about the rest of the book.",SEC list of recorded online lending platforms,SEC,CS201909976,2026-09-14,https://www.sec.gov.ph/lending-companies-and-financing-companies-2/list-of-recorded-online-lending-platforms/,"https://www.cepatkreditfinancing.com/ https://loanappreviewphilippines.com/cepat-kredit-financing-review/ https://onlineloansphilippines.com/loans/cepat-kredit-financing/ https://www.cepatkreditfinancing.com/about-us https://bossjob.ph/en-us/company/cepat-kredit-financing-inc https://www.emis.com/php/company-profile/PH/Cepat_Kredit_Financing_Inc_en_22211980.html https://ph.jobstreet.com/Cepat-Kredit-Financing-jobs/in-Pasig-City-Metro-Manila https://www.sec.gov.ph/lending-companies-and-financing-companies-2/list-of-recorded-online-lending-platforms/ https://www.sec.gov.ph/sec-issuances/cease-and-desist-orders/ https://www.signalhire.com/companies/cepat-kredit-financing-inc https://tracxn.com/d/companies/cepat-kredit-financing/__WCrapqWuNfZYHUZWMbX1cfPG0Y0U34xfyh5x5b2XryE https://www.glassdoor.com/job-listing/credit-review-associate-iloilo-cepat-kredit-financing-inc-JV_IC2363558_KO0,30_KE31,57.htm?jl=1009535655419 https://www.glassdoor.com/job-listing/credit-officer-ortigas-cepat-kredit-financing-inc-JV_IC4780323_KO0,22_KE23,49.htm?jl=1009462611572"
"China Bank Savings, Inc.",thrift_bank,,prospect,"CBS Building, 314 Sen. Gil Puyat, 1226 Makati City",48,0.55,0.85,0.65,0.9,0.45,0.6,0.5,0.85,Head of Consumer/SME Lending or Chief Risk/Credit Officer,CBS President / Chief Finance Officer,"China Bank Savings is pushing a public 20% loan-growth target on the back of its salary loan and SME/business loan segments, both of which run on document-heavy, branch-based intake — payslips and employer accreditation for Easi-APDS salary loans, and income, ID and (often) real estate mortgage documents for the sub-P10M SME line — with no named loan origination or decisioning vendor found in public materials. That combination suggests a bounded pilot on the salary-loan line specifically, where documents are simplest and most standardized: run Kita's Document Risk Score and AI Underwriter alongside the existing manual review on a defined batch of new APD applications at a handful of lending centers, and compare days-to-decision and the share resolved without branch escalation against the current process. If the hypothesis holds, the same document-capture and scoring layer could later extend to the SME book, where collateral documentation adds complexity but the underlying growth and provisioning pressure (loan-loss reserves nearly doubled in H1 2026) is even more acute.",BSP Directory of Banks and Non-Bank Financial Institutions: thrift banks,BSP,50,2026-09-14,"https://www.bsp.gov.ph/_api/web/lists/getbytitle('Institutions')/items?$select=InstitutionID,Title,ShortBankName,InstitutionTypeID,InstitutionTypeID2,InstitutionTypeID3,Address,NumOffice,Status,Website,Modified&$filter=InstitutionTypeID%20eq%20'10'&$top=500",https://www.cbs.com.ph/Loan_Products.aspx https://www.scribd.com/document/482568760/FinanceChinaBank https://www.cbs.com.ph/business/SME_Biz_Loan.aspx https://www.bworldonline.com/banking-finance/2026/05/21/750961/china-bank-savings-q1-profit-up-11-5/ https://www.bworldonline.com/banking-finance/2025/06/20/680298/china-bank-savings-targets-20-loan-growth/ https://tribune.net.ph/2026/08/06/cbs-keeps-profit-steady-despite-headwinds https://www.sunstar.com.ph/cebu/feature/cbs-china-bank-savings-expands-digitally-and-physically-to-serve-clients-better https://www.bsp.gov.ph/PaymentAndSettlement/COR.pdf https://ctb.com.ph/members/directory-of-member-banks/ https://business.inquirer.net/591438/china-bank-savings-earnings-jumped-11-5 https://fintechnews.ph/63793/digital-transformation/chamber-of-thrift-banks-chief-highlights-fintech-as-strategic-pathway-to-growth/ https://www.chinabank.ph/young-professionals-technical https://bworldonline.com/banking-finance/2026/06/19/757753/china-bank-savings-sees-modest-loan-growth-as-price-risks-linger/ https://mb.com.ph/2026/08/06/china-bank-savings-nearly-doubles-bad-loan-buffers-amid-challenging-conditions
Bukas Finance Corp,lending_company,olp_registered,prospect,Philippines,48,0.72,0.62,0.5,0.95,0.68,0.62,0.62,0.86,Head of Risk / Chief Risk Officer,Country President / General Manager (Bukas Philippines),"Bukas's own site states applicants submit ID, proof of residence, school assessment form and income documents, then wait 3-5 business days while an Assessment Team manually reviews and may call or email for more paperwork — a clear document-heavy bottleneck sitting inside an otherwise fully online flow, and one that likely gets more strained as Bukas keeps adding school partners and launched its Basic Education loan in 2025. Since the Head of Risk appears to be building underwriting models in-house rather than buying a vendor, the pilot should be framed as narrow and additive rather than a rip-and-replace: run Kita's Document Risk Score and AI Underwriter in parallel on a slice of new applications (say, one or two partner schools) to see whether documents can be scored and a decision proposed before the Assessment Team's manual step, without touching the existing homegrown risk model. Success would be measured in days-to-decision on that slice versus the 3-5 day baseline, and the share of applications that clear without a manual follow-up call for extra documents — cheap enough to test against a CRO's own SLA targets without asking them to trust a third party with the core credit decision yet.",SEC list of recorded online lending platforms,SEC,CS201901691,2026-09-14,https://www.sec.gov.ph/lending-companies-and-financing-companies-2/list-of-recorded-online-lending-platforms/,https://bukas.ph/partners/nbs/ https://bukas.ph/help-center/application-guide/ https://bukas.ph/how-it-works/process-and-requirements/ https://bukas.ph/blog/bukas-in-2025-more-than-just-a-loan/ https://bukas.ph/blog/sayo-ang-bukas-student-first-brand-bukas-crosses-1-billion-mark-in-tuition-funded-for-the-filipino-youth/ https://allthebestloans.ph/loan/bukas/ https://angel.co/company/erudifi/jobs/1034653-finance-and-risk-associate-bukas https://www.signalhire.com/companies/bukas https://bukas.ph/company/about-us/ https://loanappreviewphilippines.com/bukas-loan-app-review/ https://www.sec.gov.ph/lending-companies-and-financing-companies-2/list-of-recorded-online-lending-platforms/ https://pitchbook.com/profiles/company/226929-43 https://www.zoominfo.com/c/erudifi/479644542 https://bukas.ph/basic-ed/
Discovery Credit Solutions Corp.,lending_company,olp_registered,prospect,Philippines,47,0.8,0.55,0.4,0.9,0.75,0.85,0.55,0.92,Chief Technology Officer / Head of Credit Operations,President & CEO,"Discovery Capital Finance has just layered three new bank credit facilities (PNB, UnionBank, BDO) onto a branch network in Cebu, Davao, Iloilo and Pampanga, while its own materials describe an ""automated lending system"" that still leans on a manual, field-based credit investigation and the classic 5 Cs review of bank statements and business documents — suggesting the funding is scaling faster than the document-review layer underneath it. The bounded test worth proposing to the CTO/Head of Credit Operations is narrow: run Kita's Document Risk Score and AI Underwriter alongside the existing process on one branch's or one bank-facility's incoming SME applications for 4-6 weeks, without touching the field investigation step, and compare days-to-decision and the share of files that clear document review without a manual escalation. If the automated layer meaningfully cuts turnaround or manual touch on that limited slice, it's a reason to expand; if not, the existing in-house system likely already covers this and the conversation ends there.",SEC list of recorded online lending platforms,SEC,CS202000839,2026-09-14,https://www.sec.gov.ph/lending-companies-and-financing-companies-2/list-of-recorded-online-lending-platforms/,"https://discoverycsc.com/ https://discoverycapital.com.ph/business-loans.html https://discoverycapital.com.ph/ce.html https://insiderph.com/discovery-capital-secures-unionbank-credit-facility-for-sme-lending https://www.bworldonline.com/banking-finance/2025/12/18/719615/pnb-discovery-capital-finance-ink-partnership-to-boost-sme-lending/ https://www.philstar.com/business/2026/06/07/2533276/discovery-capital-secures-unionbank-credit-line-sme-lending https://tribune.net.ph/2026/08/07/bdo-backs-discoverys-sme-expansion https://tribune.net.ph/2025/08/10/rapid-growth-drives-lending-firms-rebrand https://www.sec.gov.ph/wp-content/uploads/2021/12/2021_1129ListLCFCApps.pdf https://www.sec.gov.ph/wp-content/uploads/2023/07/2023Notices_2023-07-06-%20Order%20to%20Register%20with%20CIC%20version.pdf https://www.crunchbase.com/organization/discovery-credit-solutions https://www.glassdoor.com/job-listing/credit-investigator-collector-discovery-capital-finance-corp-JV_IC2363849_KO0,29_KE30,60.htm?jl=1010211595967 https://www.mindanaotimes.com.ph/discovery-capital-secures-unionbank-credit-facility-to-power-sme-growth-nationwide/"
"BDO Network Bank, Inc.",thrift_bank,,prospect,"ONB Center, Km. 9, Sasa, Davao City 8000",44,0.75,0.7,0.55,0.9,0.3,0.6,0.4,0.78,MSME/Consumer Lending Group Head or Head of Credit Risk,President/CEO of BDO Network Bank (subject to BDO Unibank group technology governance),"BDO Network Bank's Kabuhayan and salary loan products are underwritten from documents rather than bureau data—business permits, weekly sales, payslips, IDs—with the bank explicitly reserving the right to manually verify authenticity, and it just added Saturday hours at loan offices to absorb salary loan application volume, all of which points to a branch-based, document-heavy process straining under its own growth. The bounded pilot to propose: run Kita's Document Risk Score and Kita Capture on incoming Kabuhayan or salary loan applications at a handful of loan offices for 60-90 days, alongside the existing manual review, to test whether automated document intake and risk scoring can cut days-to-decision and reduce the share of applications requiring manual verification, without changing the credit policy itself. Success would be measured narrowly against the current 3-5 day turnaround and current manual-verification rate, giving the MSME/Consumer Lending Group Head a low-risk, product-specific test rather than a core-system commitment—useful given that any broader origination purchase likely needs BDO Unibank group sign-off.",BSP Directory of Banks and Non-Bank Financial Institutions: thrift banks,BSP,86,2026-09-14,"https://www.bsp.gov.ph/_api/web/lists/getbytitle('Institutions')/items?$select=InstitutionID,Title,ShortBankName,InstitutionTypeID,InstitutionTypeID2,InstitutionTypeID3,Address,NumOffice,Status,Website,Modified&$filter=InstitutionTypeID%20eq%20'10'&$top=500",https://www.bdo.com.ph/about-bdo/learn/news-and-features/bdo-network-bank-kabuhayan-loan-small-medium-enterprises https://www.bdo.com.ph/about-bdo/learn/news-and-features/bdo-network-bank-kabuhayan-loan-support-msme https://www.bdo.com.ph/content/dam/bdounibank/en-ph/mcg-digital-marketing/bdo-network-bank/pdfs/exd-nb-b1-b3-14sept2023-1-color-v2.pdf https://www.bdo.com.ph/bdonetworkbank/about-us/news-and-advisories https://www.bworldonline.com/banking-finance/2025/05/07/670720/bdo-network-bank-gets-thrift-bank-license/ https://fintechnews.ph/66832/banking/bdo-network-bank-secures-thrift-bank-license/ https://www.bdo.com.ph/bdonetworkbank/loans https://business.inquirer.net/523944/bdo-network-bank-converts-into-thrift-bank https://ctb.com.ph/members/directory-of-member-banks/
First Digital Finance Corporation,lending_company,olp_registered,prospect,Philippines,44,0.75,0.9,0.25,1.0,0.55,0.85,0.55,0.89,Head of Credit Risk / Chief Risk Officer,CEO / Co-Founder,"FDFC is scaling BillEase's loan book fast (up 77% last year, with a target of 50% more in 2026) while still relying on ID, billing/income proof and a visible field-risk and fraud-check function to underwrite thin-file consumer and OFW borrowers, and it has built this decisioning in-house rather than buying it. The angle to test is narrow: run Kita's Document Risk Score and AI Underwriter as a shadow pass on a slice of new BalikBayad or BillEase applications alongside the existing in-house flow, comparing document rejection rate and time-to-decision against FDFC's own numbers without touching the production pipeline. If, as the hiring for field risk officers and multi-day OFW approval suggest, a meaningful share of that manual document and fraud review can be matched or beaten on speed and accuracy, that's the basis for a larger conversation with the Head of Credit Risk; if not, FDFC's in-house system may already be good enough and the pilot ends cheaply.",SEC list of recorded online lending platforms,SEC,CS201516347,2026-09-14,https://www.sec.gov.ph/lending-companies-and-financing-companies-2/list-of-recorded-online-lending-platforms/,https://finanso.com/ph/billease/apply/ https://billease.ph/ https://www.facebook.com/BillieTheRecruiter https://www.bworldonline.com/banking-finance/2019/04/03/223609/first-digital-finance-eyes-1m-borrowers-in-two-years/ https://bworldonline.com/banking-finance/2026/08/21/771565/billease-secures-p1-billion-credit-facility-from-pnb/ https://www.sec.gov.ph/wp-content/uploads/2023/11/2023List_UPDATED-LIST-OF-REGISTERED-FC-30-SEPT-2023-1.pdf https://app.dealroom.co/companies/first_digital_finance https://www.pna.gov.ph/articles/1276959 https://pitchbook.com/profiles/company/490244-68 https://business.inquirer.net/559253/billease-levels-up-lending-with-rural-bank-debut https://www.philstar.com/business/2026/08/21/2550649/billease-secures-p1-billion-credit-line-pnb https://fintechnews.ph/fintechs-in-philippines-directory/fintech/balikbayad/
"Bangko Kabayan, Inc. (A Private Development Bank)",thrift_bank,,prospect,"Santiago St., Poblacion, Ibaan, Batangas",43,0.8,0.55,0.55,0.95,0.5,0.4,0.6,0.95,Head of Microfinance / Inclusive Finance Group,President/CEO or Chief Risk Officer,"Bangko Kabayan's microfinance and MSME lending still runs on branch loan officers manually collecting and reviewing borrower documents, with a job posting from the bank itself describing document processing as the bottleneck against a ""minimum client per day"" quota, and even its faster SeekCap-distributed SME loans appear to take about a day to approve rather than minutes. The hypothesis worth testing is narrow: route a single branch cluster's microfinance or SME loan applications through Kita's Document Capture and Risk Score to see whether document intake and a first-pass credit read can be compressed from days to under an hour, without displacing the group-lending judgment calls loan officers make today. Success would be measured as days-to-decision and the share of applications where the manual document-chasing step is eliminated, scoped to the Head of Microfinance's book before any conversation about touching the SeekCap-connected or core banking flows.",BSP Directory of Banks and Non-Bank Financial Institutions: thrift banks,BSP,83,2026-09-14,"https://www.bsp.gov.ph/_api/web/lists/getbytitle('Institutions')/items?$select=InstitutionID,Title,ShortBankName,InstitutionTypeID,InstitutionTypeID2,InstitutionTypeID3,Address,NumOffice,Status,Website,Modified&$filter=InstitutionTypeID%20eq%20'10'&$top=500",https://bangkokabayan.com/index.php/about-us https://www.indeed.com/cmp/Bangko-Kabayan https://manilastandard.net/tech/tech-news/349277/online-lending-platform-seekcap-processes-p1-5-billion-in-loans.html https://www.devex.com/organizations/bangko-kabayan-47475 https://moneysense.ph/banks/bangko-kabayan-bk/97026/requirements-for-bangko-kabayan-business-loan-application-list/ https://www.bsp.gov.ph/Lists/Directories/Attachments/6/demand.pdf https://www.bsp.gov.ph/PaymentAndSettlement/PESONet%20Participants.pdf https://grokipedia.com/page/bangko_kabayan https://www.linkedin.com/company/bangko-kabayan-the-philippines https://www.bangkokabayan.com/index.php/news/205-bangko-kabayan-inc-expands-presence-with-grand-opening-of-new-branch-in-pototan-iloilo https://bangkokabayan.com/ https://www.bangkokabayan.com/index.php/component/content/category/14-products https://ph.jobstreet.com/bangko-kabayan-jobs/in-Calabarzon https://ctb.com.ph/bangko-kabayan-inc-2/
